code,name,description,refreshed_at,from_date,to_date
ASX_XS1,"10 Year Interest Rate Swap Futures, Continuous Contract #1 (XS1) (Front Month)","Historical Futures Prices: 10 Year Interest Rate Swap Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_XS2,"10 Year Interest Rate Swap Futures, Continuous Contract #2 (XS2)","Historical Futures Prices: 10 Year Interest Rate Swap Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_XT1,"10 Year Commonwealth Treasury Bond Futures, Continuous Contract #1 (XT1) (Front Month)","Historical Futures Prices: 10 Year Commonwealth Treasury Bond Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:09,2013-10-09,2020-02-20
ASX_XT2,"10 Year Commonwealth Treasury Bond Futures, Continuous Contract #2 (XT2)","Historical Futures Prices: 10 Year Commonwealth Treasury Bond Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:09,2013-12-18,2020-02-20
ASX_YS1,"3 Year Interest Rate Swap Futures, Continuous Contract #1 (YS1) (Front Month)","Historical Futures Prices: 3 Year Interest Rate Swap Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_YS2,"3 Year Interest Rate Swap Futures, Continuous Contract #2 (YS2)","Historical Futures Prices: 3 Year Interest Rate Swap Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:08,2013-10-09,2020-02-20
ASX_YT1,"3 Year Commonwealth Treasury Bond Futures, Continuous Contract #1 (YT1) (Front Month)","Historical Futures Prices: 3 Year Commonwealth Treasury Bond Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:09,2013-10-09,2020-02-20
ASX_YT2,"3 Year Commonwealth Treasury Bond Futures, Continuous Contract #2 (YT2)","Historical Futures Prices: 3 Year Commonwealth Treasury Bond Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from ASX.",2020-02-20 19:28:09,2013-10-09,2020-02-20
CBOE_GV1,"Gold Volatility Index Futures, May 2015, Continuous Contract #1 (GV1) (Front Month)","Historical Futures Prices: Gold Volatility Index Futures, May 2015, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:51,2011-03-25,2015-05-20
CBOE_GV2,"Gold Volatility Index Futures, April 2015, Continuous Contract #2 (GV2)","Historical Futures Prices: Gold Volatility Index Futures, April 2015, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:39,2011-03-25,2015-04-17
CBOE_OV1,"Crude Oil Volatility Index Futures, May 2015, Continuous Contract #1 (OV1) (Front Month)","Historical Futures Prices: Crude Oil Volatility Index Futures, May 2015, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:39,2012-03-26,2015-05-20
CBOE_OV2,"Crude Oil Volatility Index Futures, April 2015, Continuous Contract #2 (OV2)","Historical Futures Prices: Crude Oil Volatility Index Futures, April 2015, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:39,2012-03-26,2015-04-17
CBOE_VN1,"Nasdaq-100 Volatility Index VXN Futures, June 2015, Continuous Contract #1 (VN1) (Front Month)","Historical Futures Prices: Nasdaq-100 Volatility Index VXN Futures, June 2015, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:49,2012-05-23,2015-06-17
CBOE_VN2,"Nasdaq-100 Volatility Index VXN Futures, May 2015, Continuous Contract #2 (VN2)","Historical Futures Prices: Nasdaq-100 Volatility Index VXN Futures, May 2015, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",2017-03-13 07:28:39,2012-05-23,2015-05-21
CBOE_VX1,"S&P 500 Volatility Index VIX Futures, Continuous Contract #1 (VX1) (Front Month)","Historical Futures Prices: S&P 500 Volatility Index VIX Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CBOE. ",2020-02-20 19:45:40,2005-06-20,2020-02-19
